marca,clase,provincia,servicio,cantidad
CHEVROLET,Camión,SANTA ELENA,PARTICULAR,59
MACK,Volqueta,LOS RÍOS,PARTICULAR,58
FORD,Camión,BOLÍVAR,PARTICULAR,58
KIA,Camión,AZUAY,PARTICULAR,58
MERCEDES BENZ,Volqueta,PICHINCHA,PARTICULAR,58
HINO,Tanquero,PICHINCHA,PARTICULAR,57
HINO,Camión,ORELLANA,PARTICULAR,57
NISSAN,Volqueta,PICHINCHA,PARTICULAR,57
KIA,Camión,EL ORO,PARTICULAR,56
KENWORTH,Trailer,COTOPAXI,PARTICULAR,56
MITSUBISHI,Camión,CAÑAR,PARTICULAR,56
MACK,Volqueta,MANABÍ,PARTICULAR,56
DAIHATSU,Camión,CAÑAR,PARTICULAR,55
INTERNATIONAL,Trailer,EL ORO,PARTICULAR,55
FORD,Volqueta,LOS RÍOS,PARTICULAR,55
MITSUBISHI,Camión,GUAYAS,ALQUILER,55
HYUNDAI,Camión,CHIMBORAZO,PARTICULAR,54
HINO,Camión,PASTAZA,PARTICULAR,54
FREIGHTLINER,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,53
INTERNATIONAL,Trailer,PICHINCHA,ALQUILER,53
HINO,Volqueta,LOJA,PARTICULAR,53
HINO,Volqueta,COTOPAXI,PARTICULAR,52
MERCEDES BENZ,Camión,AZUAY,ALQUILER,52
QMC,Camión,TUNGURAHUA,PARTICULAR,52
DAIHATSU,Camión,PICHINCHA,ALQUILER,52
MERCEDES BENZ,Camión,CAÑAR,PARTICULAR,52
HINO,Tanquero,GUAYAS,PARTICULAR,52
HINO,Tanquero,MANABÍ,PARTICULAR,52
NISSAN,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,PARTICULAR,51
DODGE,Camión,GUAYAS,PARTICULAR,51
KIA,Camión,TUNGURAHUA,PARTICULAR,51
KENWORTH,Trailer,PICHINCHA,ALQUILER,51
NISSAN,Camión,EL ORO,PARTICULAR,50
HINO,Volqueta,AZUAY,ALQUILER,50
FORD,Volqueta,ESMERALDAS,PARTICULAR,49
HINO,Camión,SUCUMBÍOS,PARTICULAR,49
DAIHATSU,Camión,SUCUMBÍOS,PARTICULAR,49
CHEVROLET,Trailer,GUAYAS,PARTICULAR,49
QMC,Camión,EL ORO,PARTICULAR,49
INTERNATIONAL,Camión,LOS RÍOS,PARTICULAR,49
